publication_id,date,analyst,analyst_seniority,sector,report_type,channel,region,client_tier,word_count,has_chart,num_charts,has_video,report_page_count,has_price_target,topic_sensitivity,subject_line_length,send_hour,is_monday,is_friday,is_market_open,is_quarter_end,days_to_earnings,subscriber_count,num_explicit_recipients,prev_avg_reads,prev_report_reads,analyst_30d_avg_reads,analyst_publish_frequency,days_since_last_pub,reads
PUB_0015,2023-01-31,Analyst_10,Junior,Credit,Weekly Outlook,Web,Americas,Tier 3,1551,1,6,0,1,1,0,55,19,0,0,0,0,89,4917,0,664,842,674,Daily,8,587
PUB_0016,2023-04-06,Analyst_20,Junior,Equity,Deep Dive,Web,Americas,Tier 3,2019,1,9,0,32,1,0,74,18,0,0,0,0,2,3367,0,375,806,385,Monthly,16,431
PUB_0017,2023-08-12,Analyst_24,Mid,Equity,Flash Note,Email,APAC,Tier 1,1942,1,3,0,30,0,0,99,6,0,0,0,0,28,1573,1849,412,57,414,Daily,21,548
PUB_0018,2023-08-27,Analyst_27,Senior,Macro,Flash Note,Web,Americas,Tier 3,2943,1,6,0,8,0,1,77,9,0,0,1,0,65,3343,0,718,754,693,Daily,10,1072
PUB_0019,2024-06-01,Analyst_19,Mid,Macro,Morning Brief,Portal,Americas,Tier 3,2597,1,7,0,21,0,1,84,11,0,0,1,0,63,4578,0,408,367,448,Weekly,25,888
PUB_0020,2024-09-08,Analyst_30,Mid,Equity,Deep Dive,Web,EMEA,Tier 1,1174,1,4,0,22,0,1,88,18,0,0,0,0,27,2281,0,755,440,744,Weekly,12,741
PUB_0021,2023-01-28,Analyst_10,Senior,Equity,Deep Dive,Email,Americas,Tier 3,1764,1,0,0,18,1,0,70,15,0,0,1,0,86,1549,1765,373,568,410,Daily,12,852
PUB_0022,2024-07-28,Analyst_15,Junior,Commodities,Morning Brief,Web,Americas,Tier 2,2543,0,3,0,2,0,0,41,15,0,0,1,0,35,3196,0,747,185,704,Monthly,26,565
PUB_0023,2023-07-23,Analyst_4,Mid,Commodities,Weekly Outlook,Email,APAC,Tier 3,989,1,9,1,9,0,1,72,19,0,0,0,0,5,3356,172,375,580,345,Monthly,5,1244
PUB_0024,2024-10-27,Analyst_15,Mid,Commodities,Deep Dive,Email,APAC,Tier 3,2310,1,2,1,3,1,1,55,9,0,0,1,0,10,3256,1962,674,700,716,Monthly,16,1748
PUB_0025,2024-12-19,Analyst_23,Mid,Credit,Earnings Preview,Web,APAC,Tier 3,2986,1,9,1,26,0,1,87,19,0,0,0,0,37,1690,0,214,416,206,Daily,1,387
PUB_0026,2024-07-12,Analyst_10,Senior,Credit,Deep Dive,Web,EMEA,Tier 2,1722,1,4,0,21,0,1,55,14,0,1,1,0,33,4339,0,622,538,592,Monthly,28,1343
PUB_0027,2024-03-05,Analyst_23,Junior,Commodities,Weekly Outlook,Web,EMEA,Tier 3,2301,1,9,0,30,0,0,71,10,0,0,1,0,80,4081,0,653,738,605,Monthly,9,618
PUB_0028,2023-08-14,Analyst_13,Senior,Commodities,Deep Dive,Email,APAC,Tier 3,971,1,9,0,28,0,1,72,13,1,0,1,0,66,1535,953,504,60,484,Monthly,12,1218
PUB_0029,2024-04-04,Analyst_9,Senior,Equity,Earnings Preview,Email,APAC,Tier 2,1471,0,5,1,36,1,1,69,14,0,0,1,0,45,323,1516,202,602,178,Bi-weekly,5,637
PUB_0030,2024-08-26,Analyst_17,Junior,Credit,Flash Note,Portal,Americas,Tier 3,1795,1,1,1,26,0,0,99,15,1,0,1,0,85,319,0,786,495,762,Bi-weekly,22,591
PUB_0031,2023-10-12,Analyst_18,Senior,Commodities,Flash Note,Portal,Americas,Tier 1,1243,1,6,1,34,0,0,60,10,0,0,1,0,28,4374,0,176,163,198,Daily,20,832
PUB_0032,2023-01-07,Analyst_16,Junior,Fixed Income,Weekly Outlook,Portal,Americas,Tier 3,2546,1,2,0,8,0,0,37,11,0,0,1,0,59,1754,0,242,741,248,Monthly,22,429
PUB_0033,2023-06-13,Analyst_15,Junior,Macro,Weekly Outlook,Email,APAC,Tier 2,1749,1,0,1,10,0,0,41,6,0,0,0,0,53,4628,1430,676,755,722,Daily,28,922
PUB_0034,2024-12-15,Analyst_3,Managing Director,Commodities,Earnings Preview,Portal,Americas,Tier 1,2839,0,9,0,14,0,1,85,16,0,0,1,0,68,364,0,579,245,561,Weekly,24,987
PUB_0035,2024-03-08,Analyst_20,Managing Director,Credit,Flash Note,Web,Americas,Tier 1,1195,1,2,0,15,0,0,40,17,0,1,0,0,73,1053,0,59,786,98,Monthly,3,382
PUB_0036,2023-12-15,Analyst_2,Senior,Commodities,Flash Note,Web,APAC,Tier 3,2489,1,8,0,17,0,0,63,12,0,1,1,0,73,4624,0,141,892,182,Weekly,5,799
PUB_0037,2023-10-12,Analyst_29,Mid,Fixed Income,Flash Note,Web,Americas,Tier 2,1636,1,9,0,18,0,0,66,9,0,0,1,0,8,3833,0,188,372,181,Daily,2,515
PUB_0038,2023-06-09,Analyst_14,Junior,Equity,Flash Note,Portal,APAC,Tier 3,464,1,5,0,32,0,0,58,16,0,1,1,0,84,2874,0,530,822,522,Monthly,14,574
PUB_0039,2023-08-09,Analyst_24,Senior,Credit,Earnings Preview,Web,EMEA,Tier 1,2661,1,5,0,38,0,0,48,7,0,0,0,0,76,3224,0,498,561,478,Monthly,2,1004
PUB_0040,2023-12-11,Analyst_11,Mid,Equity,Weekly Outlook,Email,EMEA,Tier 2,2368,0,3,0,23,1,1,73,10,1,0,1,0,9,579,311,382,677,396,Daily,13,650
PUB_0041,2023-04-15,Analyst_20,Junior,Macro,Weekly Outlook,Email,Americas,Tier 2,1405,1,7,0,23,0,0,36,17,0,0,0,0,74,3614,1647,389,711,422,Monthly,7,859
PUB_0042,2023-04-05,Analyst_9,Mid,Equity,Morning Brief,Web,EMEA,Tier 3,2053,1,4,1,35,1,0,99,8,0,0,0,0,67,1453,0,101,679,126,Weekly,10,261
PUB_0043,2024-01-25,Analyst_1,Junior,Commodities,Weekly Outlook,Web,EMEA,Tier 2,2652,0,6,0,39,0,0,79,11,0,0,1,0,57,3422,0,756,214,722,Weekly,13,556
PUB_0044,2023-04-10,Analyst_3,Managing Director,Fixed Income,Flash Note,Email,APAC,Tier 3,2238,0,8,0,15,0,0,50,13,1,0,1,0,51,3978,1104,515,301,479,Weekly,16,2013
PUB_0045,2024-01-03,Analyst_8,Mid,Equity,Deep Dive,Web,APAC,Tier 3,670,0,4,1,24,0,0,92,12,0,0,1,0,33,989,0,767,828,750,Daily,26,560
PUB_0046,2023-12-19,Analyst_22,Senior,Fixed Income,Flash Note,Email,Americas,Tier 3,2180,0,4,1,28,0,0,97,8,0,0,0,0,34,3954,936,524,93,553,Weekly,14,1409
PUB_0047,2024-09-10,Analyst_27,Mid,Credit,Flash Note,Portal,APAC,Tier 2,1152,1,3,0,16,0,1,68,13,0,0,1,0,32,1024,0,450,519,403,Daily,11,489
PUB_0048,2023-09-28,Analyst_28,Senior,Credit,Weekly Outlook,Portal,Americas,Tier 1,683,1,5,0,16,0,1,21,7,0,0,0,1,71,2270,0,488,538,509,Monthly,10,1311
PUB_0049,2023-02-14,Analyst_19,Senior,Commodities,Morning Brief,Email,Americas,Tier 3,2231,1,1,0,39,0,0,67,15,0,0,1,0,31,2002,1264,654,230,701,Bi-weekly,6,1361
PUB_0050,2024-04-15,Analyst_19,Junior,Commodities,Earnings Preview,Portal,APAC,Tier 1,2792,1,2,0,6,0,0,33,14,1,0,1,0,54,4973,0,706,126,744,Monthly,4,879
PUB_0051,2024-07-03,Analyst_1,Managing Director,Commodities,Deep Dive,Portal,Americas,Tier 3,724,1,0,0,2,0,1,78,9,0,0,1,0,7,2495,0,647,423,675,Bi-weekly,21,1677
PUB_0052,2023-05-08,Analyst_25,Senior,Fixed Income,Deep Dive,Email,EMEA,Tier 2,2508,1,1,1,13,0,1,77,6,1,0,0,0,45,128,1991,558,677,535,Daily,1,1091
PUB_0053,2024-01-23,Analyst_22,Managing Director,Macro,Morning Brief,Web,EMEA,Tier 3,928,1,1,0,9,0,0,77,13,0,0,1,0,13,134,0,202,116,224,Monthly,7,315
PUB_0054,2023-03-22,Analyst_27,Managing Director,Macro,Flash Note,Portal,EMEA,Tier 3,1194,1,7,1,34,0,1,70,12,0,0,1,0,7,3689,0,563,574,514,Monthly,24,2073
PUB_0055,2024-07-19,Analyst_9,Senior,Macro,Earnings Preview,Web,APAC,Tier 3,2837,1,7,1,17,0,1,21,16,0,1,1,0,70,2770,0,552,141,518,Weekly,9,991
PUB_0056,2023-10-28,Analyst_19,Managing Director,Credit,Earnings Preview,Web,EMEA,Tier 2,2674,1,1,1,27,0,1,60,18,0,0,0,0,76,3465,0,725,807,732,Daily,8,1344
PUB_0057,2024-10-05,Analyst_2,Junior,Credit,Earnings Preview,Portal,Americas,Tier 3,897,1,5,0,29,0,0,35,10,0,0,1,0,53,688,0,55,828,78,Bi-weekly,5,87
PUB_0058,2024-09-25,Analyst_25,Junior,Macro,Weekly Outlook,Web,Americas,Tier 2,2636,0,4,1,37,0,0,23,15,0,0,1,1,20,3318,0,549,700,507,Bi-weekly,19,472
PUB_0059,2024-01-06,Analyst_25,Junior,Commodities,Flash Note,Web,Americas,Tier 2,892,1,2,0,22,0,0,31,18,0,0,0,0,74,3238,0,710,293,690,Monthly,10,501
PUB_0060,2024-08-14,Analyst_6,Mid,Equity,Deep Dive,Portal,APAC,Tier 3,1987,1,4,0,24,1,1,48,10,0,0,1,0,13,1003,0,766,390,781,Daily,11,666
PUB_0061,2023-07-16,Analyst_16,Mid,Macro,Deep Dive,Portal,EMEA,Tier 3,872,1,4,0,7,0,1,26,12,0,0,1,0,74,4186,0,167,834,204,Daily,25,670
PUB_0062,2024-12-22,Analyst_17,Mid,Equity,Flash Note,Web,APAC,Tier 3,2375,1,4,0,34,0,0,33,10,0,0,1,0,1,2269,0,534,353,545,Weekly,15,529
PUB_0063,2023-03-13,Analyst_21,Senior,Macro,Deep Dive,Web,Americas,Tier 3,2390,1,2,0,12,0,1,31,13,1,0,1,0,60,439,0,650,447,618,Bi-weekly,6,824
PUB_0064,2023-02-16,Analyst_15,Mid,Equity,Weekly Outlook,Web,EMEA,Tier 2,2004,1,2,0,23,1,1,24,16,0,0,1,0,16,4370,0,715,752,745,Daily,15,759
PUB_0065,2024-11-08,Analyst_30,Mid,Commodities,Earnings Preview,Email,EMEA,Tier 2,2770,1,3,0,15,0,1,51,18,0,1,0,0,77,1814,1287,728,497,751,Weekly,5,1156
PUB_0066,2023-08-22,Analyst_9,Senior,Credit,Deep Dive,Email,EMEA,Tier 3,476,1,6,0,33,0,1,93,11,0,0,1,0,88,4792,1520,517,146,521,Weekly,29,1791
PUB_0067,2023-10-24,Analyst_6,Junior,Macro,Weekly Outlook,Web,APAC,Tier 2,828,1,1,0,13,0,1,62,18,0,0,0,0,47,4646,0,210,380,187,Bi-weekly,19,369
PUB_0068,2023-03-23,Analyst_19,Senior,Macro,Earnings Preview,Portal,EMEA,Tier 1,1933,1,9,0,23,0,0,88,10,0,0,1,0,7,656,0,319,254,360,Weekly,22,644
PUB_0069,2023-08-27,Analyst_14,Junior,Commodities,Flash Note,Email,APAC,Tier 2,1265,1,3,1,38,0,1,64,14,0,0,1,0,55,3187,1953,105,498,104,Weekly,19,569
PUB_0070,2023-04-14,Analyst_21,Managing Director,Fixed Income,Flash Note,Email,EMEA,Tier 2,1817,0,3,0,32,0,1,28,16,0,1,1,0,16,3366,1682,277,467,291,Bi-weekly,10,1627
PUB_0071,2024-01-25,Analyst_27,Senior,Macro,Weekly Outlook,Web,Americas,Tier 2,497,1,0,0,35,0,0,68,7,0,0,0,0,68,3667,0,198,698,150,Monthly,12,631
PUB_0072,2023-10-12,Analyst_16,Junior,Equity,Weekly Outlook,Email,APAC,Tier 2,2957,0,9,0,1,1,0,52,6,0,0,0,0,11,2156,795,95,126,123,Weekly,22,391
PUB_0073,2024-04-09,Analyst_3,Junior,Commodities,Weekly Outlook,Web,EMEA,Tier 1,1152,1,7,0,5,0,1,37,13,0,0,1,0,37,3999,0,193,598,194,Weekly,4,461
PUB_0074,2024-10-12,Analyst_16,Senior,Fixed Income,Deep Dive,Portal,APAC,Tier 1,1837,1,0,0,13,0,0,28,17,0,0,0,0,17,1116,0,799,847,758,Monthly,18,1388
PUB_0075,2024-01-09,Analyst_12,Senior,Macro,Flash Note,Web,EMEA,Tier 3,2369,0,7,0,5,0,1,81,8,0,0,0,0,25,2162,0,681,474,651,Weekly,16,997
PUB_0076,2023-06-16,Analyst_14,Senior,Macro,Deep Dive,Portal,Americas,Tier 2,1380,0,6,1,32,0,0,76,19,0,1,0,0,36,938,0,389,478,375,Bi-weekly,8,552
PUB_0077,2024-01-15,Analyst_11,Senior,Credit,Deep Dive,Email,Americas,Tier 2,397,1,8,0,21,0,0,48,16,1,0,1,0,69,1737,905,462,534,426,Bi-weekly,4,1297
PUB_0078,2023-12-30,Analyst_11,Junior,Fixed Income,Earnings Preview,Email,Americas,Tier 3,2203,1,7,0,24,0,0,97,17,0,0,0,1,40,4421,1559,781,864,817,Weekly,25,1090
PUB_0079,2023-08-03,Analyst_22,Mid,Commodities,Weekly Outlook,Email,EMEA,Tier 2,734,0,4,0,18,0,0,44,17,0,0,0,0,78,3596,1517,569,184,596,Bi-weekly,23,1215
PUB_0080,2024-11-17,Analyst_4,Junior,Equity,Deep Dive,Email,APAC,Tier 3,936,1,7,1,21,1,1,34,17,0,0,0,0,41,1913,1639,393,703,421,Bi-weekly,12,849
PUB_0081,2023-10-01,Analyst_28,Managing Director,Macro,Earnings Preview,Portal,APAC,Tier 3,887,0,9,0,10,0,0,25,12,0,0,1,0,89,3579,0,436,303,459,Weekly,2,1335
PUB_0082,2024-12-19,Analyst_6,Senior,Commodities,Morning Brief,Email,Americas,Tier 1,643,1,2,0,24,0,0,61,15,0,0,1,0,75,1551,1846,522,609,480,Daily,4,880
PUB_0083,2024-11-30,Analyst_11,Mid,Credit,Earnings Preview,Web,Americas,Tier 2,1617,1,9,0,21,0,0,48,18,0,0,0,0,40,2413,0,324,304,317,Monthly,5,479
PUB_0084,2024-10-25,Analyst_14,Junior,Macro,Morning Brief,Portal,Americas,Tier 3,2279,1,6,0,25,0,0,98,16,0,1,1,0,46,1614,0,402,695,390,Weekly,3,314
PUB_0085,2023-03-15,Analyst_23,Mid,Fixed Income,Morning Brief,Portal,EMEA,Tier 3,870,1,3,0,23,0,0,23,13,0,0,1,0,13,1331,0,115,851,69,Bi-weekly,9,412
PUB_0086,2024-09-15,Analyst_16,Mid,Commodities,Morning Brief,Email,APAC,Tier 2,910,1,4,0,22,1,1,76,18,0,0,0,0,0,1745,1639,128,769,102,Monthly,29,722
PUB_0087,2024-10-12,Analyst_10,Senior,Equity,Morning Brief,Email,EMEA,Tier 3,2027,1,8,0,4,1,0,68,18,0,0,0,0,16,3099,265,647,548,652,Weekly,21,1703
PUB_0088,2023-06-25,Analyst_22,Senior,Credit,Weekly Outlook,Portal,Americas,Tier 1,2590,0,6,0,34,0,0,63,11,0,0,1,1,54,3540,0,685,662,724,Bi-weekly,18,1442
PUB_0089,2024-06-30,Analyst_13,Managing Director,Commodities,Deep Dive,Web,Americas,Tier 3,2154,0,3,0,6,0,0,99,17,0,0,0,1,52,4156,0,251,533,264,Monthly,11,1256
PUB_0090,2023-09-08,Analyst_27,Mid,Macro,Deep Dive,Web,EMEA,Tier 2,2908,0,5,0,28,0,0,94,15,0,1,1,0,30,405,0,711,95,732,Weekly,3,497
PUB_0091,2023-06-17,Analyst_25,Junior,Equity,Morning Brief,Email,Americas,Tier 3,1259,1,9,0,31,0,0,33,19,0,0,0,0,61,3636,1015,607,492,642,Weekly,25,669
PUB_0092,2024-04-18,Analyst_18,Senior,Macro,Deep Dive,Email,APAC,Tier 3,2379,0,6,0,35,0,0,22,14,0,0,1,0,7,1823,1950,162,631,163,Monthly,23,987
PUB_0093,2024-01-24,Analyst_2,Senior,Macro,Morning Brief,Email,Americas,Tier 3,2738,1,9,1,39,0,1,81,12,0,0,1,0,29,1789,1301,140,697,178,Daily,2,807
PUB_0094,2023-10-04,Analyst_15,Senior,Fixed Income,Deep Dive,Portal,APAC,Tier 2,2624,1,8,1,23,0,1,83,15,0,0,1,0,76,1617,0,190,841,215,Daily,9,699
PUB_0095,2024-10-17,Analyst_3,Senior,Fixed Income,Earnings Preview,Web,Americas,Tier 2,831,1,3,0,6,0,1,64,10,0,0,1,0,79,4017,0,338,628,296,Monthly,14,1024
PUB_0096,2024-12-05,Analyst_11,Mid,Macro,Weekly Outlook,Portal,EMEA,Tier 1,1477,1,9,0,16,0,0,77,13,0,0,1,0,65,519,0,779,53,738,Bi-weekly,4,891
PUB_0097,2024-07-24,Analyst_9,Senior,Credit,Flash Note,Portal,Americas,Tier 2,2730,1,2,0,2,1,0,39,7,0,0,0,0,44,3036,0,638,785,597,Monthly,29,1448
PUB_0098,2023-08-13,Analyst_11,Mid,Fixed Income,Morning Brief,Web,Americas,Tier 1,1391,1,7,0,24,0,0,77,12,0,0,1,0,17,3962,0,460,50,482,Daily,9,630
PUB_0099,2024-12-02,Analyst_4,Junior,Fixed Income,Earnings Preview,Portal,EMEA,Tier 3,2201,1,0,0,17,1,1,76,9,1,0,1,0,44,4329,0,426,339,437,Daily,13,585
PUB_0100,2023-11-29,Analyst_25,Junior,Fixed Income,Earnings Preview,Email,Americas,Tier 2,1183,1,8,1,1,0,1,96,14,0,0,1,0,18,1550,536,433,158,472,Daily,18,626
PUB_0101,2023-02-27,Analyst_13,Junior,Fixed Income,Weekly Outlook,Portal,EMEA,Tier 1,2561,1,0,0,6,0,0,87,17,1,0,0,0,76,3196,0,201,826,249,Bi-weekly,15,523
PUB_0102,2023-08-23,Analyst_28,Senior,Equity,Weekly Outlook,Portal,EMEA,Tier 3,1978,0,1,0,5,1,0,97,6,0,0,0,0,67,3361,0,676,624,716,Bi-weekly,28,1431
PUB_0103,2023-02-02,Analyst_17,Mid,Macro,Morning Brief,Web,APAC,Tier 3,2723,1,7,0,29,0,1,71,12,0,0,1,0,82,1264,0,368,509,377,Weekly,10,474
PUB_0104,2023-11-20,Analyst_27,Senior,Equity,Morning Brief,Portal,Americas,Tier 3,2560,1,8,0,12,0,1,56,11,1,0,1,0,49,1969,0,418,315,462,Daily,16,727
PUB_0105,2024-02-15,Analyst_1,Managing Director,Commodities,Earnings Preview,Portal,Americas,Tier 3,2426,0,6,0,39,0,1,27,13,0,0,1,0,24,1919,0,655,187,623,Bi-weekly,12,1606
PUB_0106,2023-10-02,Analyst_22,Mid,Commodities,Earnings Preview,Email,Americas,Tier 1,2049,1,2,0,3,0,1,63,10,1,0,1,0,37,2805,770,609,483,596,Weekly,20,1124
PUB_0107,2023-03-09,Analyst_28,Mid,Commodities,Weekly Outlook,Portal,APAC,Tier 2,2975,0,6,0,1,0,1,24,6,0,0,0,0,35,3615,0,752,93,707,Daily,5,950
PUB_0108,2023-08-05,Analyst_18,Senior,Equity,Morning Brief,Email,Americas,Tier 3,2951,1,5,1,27,1,0,88,6,0,0,0,0,67,1442,136,511,559,475,Monthly,2,1293
PUB_0109,2024-08-03,Analyst_15,Mid,Macro,Morning Brief,Web,APAC,Tier 3,1081,0,1,0,24,0,1,50,14,0,0,1,0,55,2326,0,61,311,103,Daily,10,164
PUB_0110,2023-11-19,Analyst_14,Junior,Commodities,Earnings Preview,Portal,APAC,Tier 1,2405,1,2,1,19,0,1,64,15,0,0,1,0,38,1179,0,205,777,201,Bi-weekly,1,470
PUB_0111,2023-08-06,Analyst_2,Mid,Fixed Income,Flash Note,Web,Americas,Tier 3,1180,1,9,1,8,0,1,28,11,0,0,1,0,62,4306,0,733,682,727,Monthly,7,1343
PUB_0112,2024-11-02,Analyst_7,Junior,Commodities,Earnings Preview,Email,Americas,Tier 2,746,1,9,0,2,0,0,51,15,0,0,1,0,6,4663,740,526,201,480,Weekly,26,860
PUB_0113,2024-05-26,Analyst_17,Managing Director,Credit,Flash Note,Web,EMEA,Tier 2,2413,1,4,0,30,0,0,52,10,0,0,1,0,57,2879,0,450,262,477,Weekly,17,1055
PUB_0114,2024-02-10,Analyst_12,Senior,Fixed Income,Morning Brief,Email,APAC,Tier 2,2083,1,9,0,30,0,0,86,6,0,0,0,0,79,2628,1062,226,283,228,Weekly,16,928
PUB_0115,2024-10-20,Analyst_20,Senior,Fixed Income,Earnings Preview,Email,APAC,Tier 3,1577,1,3,1,39,0,0,49,11,0,0,1,0,58,913,574,390,672,405,Monthly,27,1031
PUB_0116,2024-04-14,Analyst_25,Managing Director,Fixed Income,Weekly Outlook,Email,APAC,Tier 3,2291,0,1,0,32,0,1,95,11,0,0,1,0,47,2131,496,106,410,117,Weekly,27,911
PUB_0117,2023-05-27,Analyst_16,Senior,Commodities,Deep Dive,Email,APAC,Tier 1,1367,1,3,0,1,0,0,48,8,0,0,0,0,4,422,349,497,369,469,Bi-weekly,24,940
PUB_0118,2023-09-29,Analyst_21,Junior,Fixed Income,Morning Brief,Portal,APAC,Tier 3,1877,1,7,0,38,0,0,22,18,0,1,0,1,86,3069,0,252,271,245,Monthly,3,298
PUB_0119,2023-05-23,Analyst_15,Managing Director,Credit,Morning Brief,Email,EMEA,Tier 2,1311,1,4,0,13,0,1,76,13,0,0,1,0,35,1003,1710,746,787,747,Monthly,14,2511
PUB_0120,2023-09-10,Analyst_25,Senior,Equity,Earnings Preview,Email,EMEA,Tier 1,2574,1,4,1,11,0,0,49,19,0,0,0,0,87,1641,424,682,259,677,Weekly,10,1274
PUB_0121,2024-07-28,Analyst_2,Senior,Credit,Deep Dive,Portal,APAC,Tier 3,1073,1,9,0,10,1,0,28,6,0,0,0,0,24,3603,0,787,445,755,Bi-weekly,22,1663
PUB_0122,2024-07-05,Analyst_7,Managing Director,Macro,Deep Dive,Web,Americas,Tier 3,2114,1,2,0,26,0,0,45,6,0,1,0,0,44,2753,0,251,632,288,Monthly,7,927
PUB_0123,2023-09-27,Analyst_9,Mid,Fixed Income,Deep Dive,Email,Americas,Tier 3,2948,1,7,0,20,0,1,21,11,0,0,1,1,18,2576,1972,379,538,412,Weekly,26,1009
PUB_0124,2024-08-21,Analyst_18,Junior,Credit,Earnings Preview,Web,Americas,Tier 3,2726,1,5,1,17,0,0,81,15,0,0,1,0,6,3440,0,412,650,408,Weekly,17,553
PUB_0125,2024-03-14,Analyst_5,Mid,Commodities,Earnings Preview,Portal,Americas,Tier 3,1501,0,1,0,17,0,1,22,18,0,0,0,0,57,4343,0,503,823,543,Daily,6,709
PUB_0126,2024-08-20,Analyst_30,Mid,Macro,Flash Note,Email,APAC,Tier 3,1750,0,1,0,4,1,0,65,6,0,0,0,0,80,1241,699,405,513,406,Daily,23,583
PUB_0127,2024-02-13,Analyst_10,Senior,Credit,Flash Note,Email,Americas,Tier 1,606,0,8,0,5,0,1,87,11,0,0,1,0,65,949,1010,265,749,238,Monthly,22,1190
PUB_0128,2024-01-06,Analyst_15,Managing Director,Fixed Income,Flash Note,Web,Americas,Tier 2,1078,1,6,0,23,0,0,44,6,0,0,0,0,79,466,0,604,673,570,Weekly,4,987
PUB_0129,2023-08-13,Analyst_29,Junior,Commodities,Weekly Outlook,Portal,APAC,Tier 2,2851,0,9,0,10,0,0,70,19,0,0,0,0,38,2997,0,72,501,110,Monthly,17,429
PUB_0130,2023-05-22,Analyst_23,Senior,Fixed Income,Morning Brief,Email,Americas,Tier 2,2615,1,8,0,28,0,0,32,18,1,0,0,0,17,1189,235,204,462,199,Bi-weekly,27,615
PUB_0131,2024-06-05,Analyst_16,Mid,Macro,Flash Note,Web,Americas,Tier 3,307,1,5,0,33,0,0,63,11,0,0,1,0,0,4141,0,235,800,248,Bi-weekly,9,654
PUB_0132,2024-05-20,Analyst_4,Mid,Credit,Weekly Outlook,Email,Americas,Tier 2,2855,0,4,0,26,0,0,54,8,1,0,0,0,62,2138,127,298,525,342,Bi-weekly,4,654
PUB_0133,2023-04-04,Analyst_1,Junior,Fixed Income,Weekly Outlook,Email,Americas,Tier 1,775,1,0,0,29,0,0,74,19,0,0,0,0,2,2960,1554,798,305,775,Daily,7,601
PUB_0134,2023-02-18,Analyst_21,Mid,Macro,Earnings Preview,Email,EMEA,Tier 2,1620,1,5,0,27,0,0,28,19,0,0,0,0,20,4370,1459,183,199,182,Monthly,23,868
PUB_0135,2023-04-23,Analyst_20,Managing Director,Commodities,Deep Dive,Portal,EMEA,Tier 3,2511,0,5,0,18,0,0,21,13,0,0,1,0,29,1954,0,370,176,383,Weekly,2,881
